target_index,pkb_id,length,original_target,recolored_target,g_big_dotbracket,g_small_dotbracket,target_pair_count,g_big_pair_count,g_small_pair_count
146,PKB00242,34,.((((...[[[[[[[[)))).....]]]]]]]].,.[[[[...((((((((]]]].....)))))))).,........((((((((.........)))))))).,.[[[[...........]]]]..............,12,8,4
147,PKB00244,55,.((((((((((.........[[[[[[[)))))))))).........]]]].]]].,.((((((((((.........[[[[[[[)))))))))).........]]]].]]].,.((((((((((................))))))))))..................,....................[[[[[[[...................]]]].]]].,17,10,7
148,PKB00245,35,.((((((..[[[[[)))))).........]]]]].,.((((((..[[[[[)))))).........]]]]].,.((((((.......))))))...............,.........[[[[[...............]]]]].,11,6,5
149,PKB00246,34,((.((((.....[[[[))))..))......]]]],((.((((.....[[[[))))..))......]]]],((.((((.........))))..))..........,............[[[[..............]]]],10,6,4
150,PKB00247,22,.(((..[[[[)))..]]]]...,.[[[..((((]]]..))))...,......((((.....))))...,.[[[......]]].........,7,4,3
151,PKB00248,66,.((((((.....[[[.(((....(((((((.....))))))).))).))))))........]]]..,.((((((.....[[[.(((....(((((((.....))))))).))).))))))........]]]..,.((((((.........(((....(((((((.....))))))).))).)))))).............,............[[[..............................................]]]..,19,16,3
152,PKB00251,26,.(((..[[[[[.))).....]]]]].,.[[[..(((((.]]].....))))).,......(((((.........))))).,.[[[........]]]...........,8,5,3
153,PKB00253,82,...........((((((((((((((...[[[[[)))))))))))))).............................]]]]].,...........((((((((((((((...[[[[[)))))))))))))).............................]]]]].,...........((((((((((((((........))))))))))))))...................................,............................[[[[[...........................................]]]]].,19,14,5
154,PKB00254,82,............(((((((((((...[[[[[[[)))))))))))((((((((.........))).)))))...]].]]]]].,............(((((((((((...[[[[[[[)))))))))))((((((((.........))).)))))...]].]]]]].,............(((((((((((..........)))))))))))((((((((.........))).)))))............,..........................[[[[[[[........................................]].]]]]].,26,19,7
155,PKB00255,56,.((((((((...............[[[[[[[[[[.))))))))..]]]]]]]]]].,.[[[[[[[[...............((((((((((.]]]]]]]]..)))))))))).,........................((((((((((...........)))))))))).,.[[[[[[[[..........................]]]]]]]].............,18,10,8
156,PKB00257,66,............((((((((((...[[[[[[[[[)))))...))))).........]]]]]]]]].,............((((((((((...[[[[[[[[[)))))...))))).........]]]]]]]]].,............((((((((((............)))))...)))))...................,.........................[[[[[[[[[......................]]]]]]]]].,19,10,9
157,PKB00258,60,.............(((((((((((...[[[[[.)))))))))))..........]]]]].,.............(((((((((((...[[[[[.)))))))))))..........]]]]].,.............(((((((((((.........)))))))))))................,...........................[[[[[......................]]]]].,16,11,5
158,PKB00259,57,.((((((.....((((....))))[[[[[))))))................]]]]].,.((((((.....((((....))))[[[[[))))))................]]]]].,.((((((.....((((....)))).....))))))......................,........................[[[[[......................]]]]].,15,10,5
159,PKB00260,57,.(((((.....((((......))))[[[[.)))))..................]]]],.(((((.....((((......))))[[[[.)))))..................]]]],.(((((.....((((......)))).....)))))......................,.........................[[[[........................]]]],13,9,4
160,PKB00261,59,.((((((.....(((((....)))))[[[[[))))))................]]]]].,.((((((.....(((((....)))))[[[[[))))))................]]]]].,.((((((.....(((((....))))).....))))))......................,..........................[[[[[......................]]]]].,16,11,5
161,PKB00262,56,.((((((((...((((.....)))).[[[))))))))................]]],.((((((((...((((.....)))).[[[))))))))................]]],.((((((((...((((.....))))....))))))))...................,..........................[[[........................]]],15,12,3
162,PKB00263,62,.(((((((......(((((....))))).[[[[.)))))))................]]]].,.(((((((......(((((....))))).[[[[.)))))))................]]]].,.(((((((......(((((....)))))......))))))).....................,.............................[[[[........................]]]].,16,12,4
163,PKB00265,61,.((((((((.....((((....))))[[[[[.))))))))................]]]]],.((((((((.....((((....))))[[[[[.))))))))................]]]]],.((((((((.....((((....))))......)))))))).....................,..........................[[[[[.........................]]]]],17,12,5
164,PKB00266,47,.(((((((......[[[[)))))))...............]]]]...,.(((((((......[[[[)))))))...............]]]]...,.(((((((..........)))))))......................,..............[[[[......................]]]]...,11,7,4
165,PKB00267,72,.(((((((((.......((((((((....))))))))[[[[[)))))))))..............]]]]]..,.(((((((((.......((((((((....))))))))[[[[[)))))))))..............]]]]]..,.(((((((((.......((((((((....)))))))).....))))))))).....................,.....................................[[[[[.......................]]]]]..,22,17,5
166,PKB00268,40,.(((((((...[[[[.)))))))...........]]]]..,.(((((((...[[[[.)))))))...........]]]]..,.(((((((........))))))).................,...........[[[[...................]]]]..,11,7,4
167,PKB00269,66,.(((((((.......((((((((......))))))))....[[[[[)))))))....]]]]]....,.(((((((.......((((((((......))))))))....[[[[[)))))))....]]]]]....,.(((((((.......((((((((......)))))))).........))))))).............,.........................................[[[[[...........]]]]]....,20,15,5
168,PKB00270,62,.((((((((..............((((((.....))))))[[[[[.)))))))).]]]]]..,.((((((((..............((((((.....))))))[[[[[.)))))))).]]]]]..,.((((((((..............((((((.....))))))......))))))))........,........................................[[[[[..........]]]]]..,19,14,5
169,PKB00271,75,.((((.....((((.......))))[[[[[[))))((((((....))))))..................]]]]]],.[[[[.....((((.......))))((((((]]]]((((((....))))))..................)))))),..........((((.......))))((((((....((((((....))))))..................)))))),.[[[[..........................]]]]........................................,20,16,4
170,PKB00272,66,.((((((((.....(((((.((((....)))))))))[[[[[[)))))))).....]]]]]]....,.((((((((.....(((((.((((....)))))))))[[[[[[)))))))).....]]]]]]....,.((((((((.....(((((.((((....)))))))))......))))))))...............,.....................................[[[[[[.............]]]]]]....,23,17,6
171,PKB00273,48,.(((((...........[[[[[[.............)))))]]]]]].,.[[[[[...........((((((.............]]]]])))))).,.................((((((..................)))))).,.[[[[[..............................]]]]].......,11,6,5
172,PKB00274,49,.((((((...........[[[[[[............))))))]]]]]].,.((((((...........[[[[[[............))))))]]]]]].,.((((((.............................)))))).......,..................[[[[[[..................]]]]]].,12,6,6
173,PKB00275,85,.((((((.......[[[[[[)))))).....(((((((.....(((((((....)))))))......)))))))....]]]]]].,.((((((.......[[[[[[)))))).....(((((((.....(((((((....)))))))......)))))))....]]]]]].,.((((((.............)))))).....(((((((.....(((((((....)))))))......)))))))...........,..............[[[[[[..........................................................]]]]]].,26,20,6
174,PKB00276,73,.(.(((((((((((............)))))))).........[[[[[....(((...)))))).)]]]]]..,.[.[[[((((((((............)))))))).........(((((....(((...)))]]].])))))..,......((((((((............)))))))).........(((((....(((...))).....)))))..,.[.[[[.......................................................]]].].......,20,16,4
175,PKB00277,37,.((((((...[[[[[..)).)))).......]]]]].,.((((((...[[[[[..)).)))).......]]]]].,.((((((..........)).)))).............,..........[[[[[................]]]]].,11,6,5
176,PKB00278,29,.((((((...[[[..))))))....]]].,.((((((...[[[..))))))....]]].,.((((((........))))))........,..........[[[............]]].,9,6,3
177,PKB00279,21,.(((((..[[[))))).]]].,.(((((..[[[))))).]]].,.(((((.....))))).....,........[[[......]]].,8,5,3
178,PKB00280,68,.............(((((((.....[[[[[[[.......)))))))..............]]]]]]].,.............(((((((.....[[[[[[[.......)))))))..............]]]]]]].,.............(((((((...................)))))))......................,.........................[[[[[[[............................]]]]]]].,14,7,7
179,PKB00281,43,.............(((((..[[[.))))).........]]]..,.............(((((..[[[.))))).........]]]..,.............(((((......)))))..............,....................[[[...............]]]..,8,5,3
180,PKB00282,28,.((((..[[[[)))).....]]]]....,.((((..[[[[)))).....]]]]....,.((((......)))).............,.......[[[[.........]]]]....,8,4,4
181,PKB00283,29,.((((..[[[[)))).....]]]].....,.((((..[[[[)))).....]]]].....,.((((......))))..............,.......[[[[.........]]]].....,8,4,4
182,PKB00284,30,..((((..[[[[)))).....]]]].....,..((((..[[[[)))).....]]]].....,..((((......))))..............,........[[[[.........]]]].....,8,4,4
183,PKB00285,27,..((((..[[[[)))).....]]]]..,..((((..[[[[)))).....]]]]..,..((((......))))...........,........[[[[.........]]]]..,8,4,4
184,PKB00286,30,..((((...[[[)))).....]]]......,..((((...[[[)))).....]]]......,..((((......))))..............,.........[[[.........]]]......,7,4,3
185,PKB00287,26,.((((..[[[[)))).....]]]]..,.((((..[[[[)))).....]]]]..,.((((......))))...........,.......[[[[.........]]]]..,8,4,4
186,PKB00288,25,.((((..[[[)))).....]]]...,.((((..[[[)))).....]]]...,.((((.....))))...........,.......[[[.........]]]...,7,4,3
187,PKB00289,28,..((((..[[[[)))).....]]]]...,..((((..[[[[)))).....]]]]...,..((((......))))............,........[[[[.........]]]]...,8,4,4
188,PKB00293,24,.((((..[[[)))).....]]]..,.((((..[[[)))).....]]]..,.((((.....))))..........,.......[[[.........]]]..,7,4,3
189,PKB00294,25,..(((.[[[[[[)))...]]]]]].,..[[[.((((((]]]...)))))).,......((((((......)))))).,..[[[.......]]]..........,9,6,3
190,PKB00296,26,..(((.[[[.[[)))...]].]]]..,..[[[.(((.((]]]...)).)))..,......(((.((......)).)))..,..[[[.......]]]...........,8,5,3
191,PKB00297,33,.(((((..[[[[[[[))))).....]]]]]]].,.[[[[[..(((((((]]]]].....))))))).,........(((((((..........))))))).,.[[[[[.........]]]]].............,12,7,5
192,PKB00298,29,.(((....[[[[[)))..]]]]]......,.[[[....(((((]]]..)))))......,........(((((.....)))))......,.[[[.........]]].............,8,5,3
193,PKB00299,25,.(((.[[[[[[)))..]]]]]]...,.[[[.((((((]]]..))))))...,.....((((((.....))))))...,.[[[.......]]]...........,9,6,3
194,PKB00300,37,.......(((((..[[[[[[)))))...]]]]]]...,.......[[[[[..((((((]]]]]...))))))...,..............((((((........))))))...,.......[[[[[........]]]]]............,11,6,5
195,PKB00301,37,.......(((((..[[[[..)))))....]]]]....,.......(((((..[[[[..)))))....]]]]....,.......(((((........)))))............,..............[[[[...........]]]]....,9,5,4
196,PKB00302,31,(((((((...[[[[.)))))))....]]]].,(((((((...[[[[.)))))))....]]]].,(((((((........))))))).........,..........[[[[............]]]].,11,7,4
197,PKB00303,76,.(((((....(((((.((....)).)))))...[[[.[[[[[[(((....))))))))........]]]]]]]]].,.[[[[[....(((((.((....)).)))))...(((.(((((((((....)))]]]]]........))))))))).,..........(((((.((....)).)))))...(((.(((((((((....))).............))))))))).,.[[[[[...............................................]]]]]..................,24,19,5
198,PKB00304,34,(((((...[[[......)))))........]]].,(((((...[[[......)))))........]]].,(((((............)))))............,........[[[...................]]].,8,5,3
199,PKB00305,80,.(((((....((((((((....))).)))))..[[[[.[[[[[[(((....)))))))).........]]]].]]]]]].,.[[[[[....((((((((....))).)))))..((((.(((((((((....)))]]]]].........)))).)))))).,..........((((((((....))).)))))..((((.(((((((((....)))..............)))).)))))).,.[[[[[................................................]]]]].....................,26,21,5
200,PKB00306,78,.(((((....((((.(((....)))..))))..[[[[.[[[[[[(((....)))))))).......]]]].]]]]]].,.[[[[[....((((.(((....)))..))))..((((.(((((((((....)))]]]]].......)))).)))))).,..........((((.(((....)))..))))..((((.(((((((((....)))............)))).)))))).,.[[[[[................................................]]]]]...................,25,20,5
201,PKB00308,80,..(((((.....((((((((....))))))))..[[[[.[[[[[[(((....))))))))........]]]].]]]]]].,..[[[[[.....((((((((....))))))))..((((.(((((((((....)))]]]]]........)))).)))))).,............((((((((....))))))))..((((.(((((((((....))).............)))).)))))).,..[[[[[................................................]]]]]....................,26,21,5
202,PKB00343,54,((((((([[[[[[.....((....)).....))))))).........]]]]]].,((((((([[[[[[.....((....)).....))))))).........]]]]]].,(((((((...........((....)).....)))))))................,.......[[[[[[..................................]]]]]].,15,9,6
203,PKB00344,94,((((((((....(.(((...(((.[.[[)))......))))(((..(((....))).)))...(]].](((((....)))))..))))))))).,((((((((....(.(((...(((.[.[[)))......))))(((..(((....))).)))...(]].](((((....)))))..))))))))).,((((((((....(.(((...(((.....)))......))))(((..(((....))).)))...(....(((((....)))))..))))))))).,........................[.[[....................................]].]..........................,30,27,3
204,PKB00345,52,.((((((.......[[.[.[[[[[)))))).........].]].]].].]].,.[[[[[[.......((.(.(((((]]]]]].........).)).)).).)).,..............((.(.(((((...............).)).)).).)).,.[[[[[[.................]]]]]]......................,14,8,6
205,PKB00346,75,............(((((((((((......[[[[[[[...))))))))))).((....))........]]]]]]].,............(((((((((((......[[[[[[[...))))))))))).((....))........]]]]]]].,............(((((((((((................))))))))))).((....))................,.............................[[[[[[[...............................]]]]]]].,20,13,7
206,PKB00348,77,............(((((((((((.......[[[[[[[..))))))))))).((....)).......]]]]]]]....,............(((((((((((.......[[[[[[[..))))))))))).((....)).......]]]]]]]....,............(((((((((((................))))))))))).((....))..................,..............................[[[[[[[.............................]]]]]]]....,20,13,7
207,PKB00349,80,............(((((((((((.......[[[[[[[..)))))))))))................]]]]]]].......,............(((((((((((.......[[[[[[[..)))))))))))................]]]]]]].......,............(((((((((((................)))))))))))..............................,..............................[[[[[[[.............................]]]]]]].......,18,11,7
208,PKB00350,77,............(((((((((((........[[[[[[..)))))))))))................]]]]]].....,............(((((((((((........[[[[[[..)))))))))))................]]]]]].....,............(((((((((((................)))))))))))...........................,...............................[[[[[[.............................]]]]]].....,17,11,6
209,PKB00351,80,.............(((((((((((.......[[[[[[[..)))))))))))................]]]]]]]......,.............(((((((((((.......[[[[[[[..)))))))))))................]]]]]]]......,.............(((((((((((................))))))))))).............................,...............................[[[[[[[.............................]]]]]]]......,18,11,7
210,PKB00352,70,................(((.(((((((...[[[[[[[.))))))).))).............]]]]]]].,................(((.(((((((...[[[[[[[.))))))).))).............]]]]]]].,................(((.(((((((...........))))))).))).....................,..............................[[[[[[[.........................]]]]]]].,17,10,7
211,PKB00353,70,..................(((((((((((.[[[[[[[[))))))))))).........]]]]]]]]....,..................(((((((((((.[[[[[[[[))))))))))).........]]]]]]]]....,..................(((((((((((.........))))))))))).....................,..............................[[[[[[[[....................]]]]]]]]....,19,11,8
212,PKB00359,40,....((((....[[[.))))......]]]...........,....((((....[[[.))))......]]]...........,....((((........))))....................,............[[[...........]]]...........,7,4,3
213,PKB00361,80,.....((((((((((.[[[))))))))))...((((...(((.(((....))).)))...)))).........]]]....,.....((((((((((.[[[))))))))))...((((...(((.(((....))).)))...)))).........]]]....,.....((((((((((....))))))))))...((((...(((.(((....))).)))...))))................,................[[[......................................................]]]....,23,20,3
214,PKB00362,90,.............((((((((....[[[[))))))))((.((((...(((.(((....))).)))...))))))......]]]]......,.............((((((((....[[[[))))))))((.((((...(((.(((....))).)))...))))))......]]]]......,.............((((((((........))))))))((.((((...(((.(((....))).)))...))))))................,.........................[[[[...................................................]]]]......,24,20,4
215,PKB00363,80,.....(((((((((..[[[[)))))))))...(((((((.(((.(((....))).))).)))))))........]]]]..,.....(((((((((..[[[[)))))))))...(((((((.(((.(((....))).))).)))))))........]]]]..,.....(((((((((......)))))))))...(((((((.(((.(((....))).))).)))))))..............,................[[[[......................................................]]]]..,26,22,4
216,PKB00364,80,.....((((((((....[[[[.))))))))...(((((..(((.(((....))).)))..)))))..........]]]].,.....((((((((....[[[[.))))))))...(((((..(((.(((....))).)))..)))))..........]]]].,.....((((((((.........))))))))...(((((..(((.(((....))).)))..)))))...............,.................[[[[......................................................]]]].,23,19,4
217,PKB00365,90,.....(((((((((..[[[[)))))))))...(((((((..((.((((((.....)))....))).))..))))))).........]]]],.....(((((((((..[[[[)))))))))...(((((((..((.((((((.....)))....))).))..))))))).........]]]],.....(((((((((......)))))))))...(((((((..((.((((((.....)))....))).))..))))))).............,................[[[[..................................................................]]]],28,24,4
218,PKB00366,80,..(((((..[[[[[))))).......((((((.((((((((....)))))))).)))))).....]]]]]..........,..(((((..[[[[[))))).......((((((.((((((((....)))))))).)))))).....]]]]]..........,..(((((.......))))).......((((((.((((((((....)))))))).))))))....................,.........[[[[[...................................................]]]]]..........,24,19,5
219,PKB00367,64,((((...((((......))))....[[[[[[[))))(.(((........))).).]]]]]]]..,[[[[...((((......))))....(((((((]]]](.(((........))).).)))))))..,.......((((......))))....(((((((....(.(((........))).).)))))))..,[[[[............................]]]]............................,19,15,4
220,PKB00368,28,.((((.[[[[[)))).......]]]]].,.[[[[.(((((]]]].......))))).,......(((((...........))))).,.[[[[......]]]].............,9,5,4
221,PKB00369,30,.((((((.[[[[[)))))).....]]]]].,.((((((.[[[[[)))))).....]]]]].,.((((((......))))))...........,........[[[[[...........]]]]].,11,6,5
222,PKB00370,38,.(((((((.[[[[[[...)))))))......]]]]]].,.(((((((.[[[[[[...)))))))......]]]]]].,.(((((((..........))))))).............,.........[[[[[[................]]]]]].,13,7,6
223,PKB00371,31,.(((((.[[[[[)))))........]]]]].,.(((((.[[[[[)))))........]]]]].,.(((((......)))))..............,.......[[[[[.............]]]]].,10,5,5
224,PKB00372,41,...(((((((.[[[.....)))))))...........]]].,...(((((((.[[[.....)))))))...........]]].,...(((((((.........)))))))...............,...........[[[.......................]]].,10,7,3
225,PKB00374,64,...........(((((((......[[[[[[[[[.))))))).......]]]]]]]]].......,...........[[[[[[[......(((((((((.]]]]]]].......))))))))).......,........................(((((((((...............))))))))).......,...........[[[[[[[................]]]]]]].......................,16,9,7
226,PKB00375,44,.((((((((((.[[[[[....))))))))))......]]]]]..,.((((((((((.[[[[[....))))))))))......]]]]]..,.((((((((((..........)))))))))).............,............[[[[[....................]]]]]..,15,10,5
227,PKB00376,41,((((((.[[[[[[[)).))))............]]]]]]].,[[[[[[.(((((((]].]]]]............))))))).,.......(((((((...................))))))).,[[[[[[........]].]]]]....................,13,7,6
228,PKB00382,99,...((((((((.....((((((..[[[[[[[)))))))))))))).......((((((((((....))))))))))...............]]]]]]].,...((((((((.....((((((..[[[[[[[)))))))))))))).......((((((((((....))))))))))...............]]]]]]].,...((((((((.....((((((.........)))))))))))))).......((((((((((....)))))))))).......................,........................[[[[[[[............................................................]]]]]]].,31,24,7
229,PKB00383,95,.(((((((......(((((.((...[[[[[.))))))))))))))....((((((((((....))))))))))..............]]]]]...,.(((((((......(((((.((...[[[[[.))))))))))))))....((((((((((....))))))))))..............]]]]]...,.(((((((......(((((.((.........))))))))))))))....((((((((((....))))))))))......................,.........................[[[[[.........................................................]]]]]...,29,24,5
230,PKB00384,98,...((((((((.......((((((..[[[[[[.)))))).))))))))...((((((((((....))))))))))................]]]]]].,...((((((((.......((((((..[[[[[[.)))))).))))))))...((((((((((....))))))))))................]]]]]].,...((((((((.......((((((.........)))))).))))))))...((((((((((....)))))))))).......................,..........................[[[[[[...........................................................]]]]]].,30,24,6
231,PKB00396,100,.(((((((((((((((.[[[[[[))))))))......)))))))...((((....))))....(((((((.....)))))))...........]]]]]].,.(((((((((((((((.[[[[[[))))))))......)))))))...((((....))))....(((((((.....)))))))...........]]]]]].,.(((((((((((((((.......))))))))......)))))))...((((....))))....(((((((.....)))))))..................,.................[[[[[[......................................................................]]]]]].,32,26,6
232,PKB400,52,.((((((.......[[...[[[[[)))))).........].]].]]...]].,.[[[[[[.......((...(((((]]]]]].........).)).))...)).,..............((...(((((...............).)).))...)).,.[[[[[[.................]]]]]]......................,13,7,6
233,PKB405,89,((((....((((((((((((......(((((((...[[[[[...))))))).....((....))))).))))))))).]]]]].)))).,((((....((((((((((((......(((((((...[[[[[...))))))).....((....))))).))))))))).]]]]].)))).,((((....((((((((((((......(((((((...........))))))).....((....))))).))))))))).......)))).,....................................[[[[[.....................................]]]]]......,30,25,5
234,PKB406,54,(((((...((((.((...)..(..[[[...)..)......))))..]]]))))),(((((...((((.((...)..(..[[[...)..)......))))..]]]))))),(((((...((((.((...)..(........)..)......)))).....))))),........................[[[...................]]].....,15,12,3
235,PKB408,76,.(((((..........((((((((....))))))))[[[[[[[[[[[..)))))...........]]]]]]]]]]],.[[[[[..........((((((((....))))))))(((((((((((..]]]]]...........))))))))))),................((((((((....))))))))(((((((((((..................))))))))))),.[[[[[...........................................]]]]]......................,24,19,5
236,PKB411,45,......(((((...[[[[[..))))).........]]]]].....,......(((((...[[[[[..))))).........]]]]].....,......(((((..........)))))...................,..............[[[[[................]]]]].....,10,5,5
237,PKB414,65,.........((((((((.......[[[[[[[[[[))))))).).....]]]]]]]]]].......,.........[[[[[[[[.......((((((((((]]]]]]].].....)))))))))).......,........................((((((((((..............)))))))))).......,.........[[[[[[[[.................]]]]]]].]......................,18,10,8
238,PKB415,35,((((.(.(((((.[[[[[)))))).))))]]]]].,((((.(.(((((.[[[[[)))))).))))]]]]].,((((.(.(((((......)))))).))))......,.............[[[[[...........]]]]].,15,10,5
239,PKB422,52,.((((..[[[[[[))))......(((((....)))))....]]]]]].....,.[[[[..((((((]]]]......(((((....)))))....)))))).....,.......((((((..........(((((....)))))....)))))).....,.[[[[........]]]]...................................,15,11,4
240,PKB423,34,.....(((...[[[[.))).....]]]]......,.....[[[...((((.]]].....))))......,...........((((.........))))......,.....[[[........]]]...............,7,4,3
241,PKB425,77,((((((((....))))))))((((((((.......[[[[[..))))))))......((((....))))..]]]]]..,((((((((....))))))))((((((((.......[[[[[..))))))))......((((....))))..]]]]]..,((((((((....))))))))((((((((..............))))))))......((((....)))).........,...................................[[[[[..............................]]]]]..,25,20,5
242,PKB428,43,((((((((.(((.[[[[[))))))))))).........]]]]],((((((((.(((.[[[[[))))))))))).........]]]]],((((((((.(((......)))))))))))..............,.............[[[[[....................]]]]],16,11,5
243,PKB429,41,((((.......[[[[[[[.[))))....].....]]]]]]],[[[[.......(((((((.(]]]]....).....))))))),...........(((((((.(........).....))))))),[[[[................]]]].................,12,8,4
244,PKB430,52,((((..............[[[[[[))))((.......))...]]]].]]...,[[[[..............((((((]]]]((.......))...)))).))...,..................((((((....((.......))...)))).))...,[[[[....................]]]]........................,12,8,4
245,PKB431,36,((((((.[[[[[[)))))).........]]]]]]..,((((((.[[[[[[)))))).........]]]]]]..,((((((.......)))))).................,.......[[[[[[...............]]]]]]..,12,6,6
246,PKB432,32,....(((((..[[[.)))))........]]].,....(((((..[[[.)))))........]]].,....(((((......)))))............,...........[[[..............]]].,8,5,3
247,PKB433,34,(((((..[[[[[[.)))))........]]]]]].,[[[[[..((((((.]]]]]........)))))).,.......((((((..............)))))).,[[[[[.........]]]]]...............,11,6,5
248,PKB434,59,(...((...(((....)))..))...)....(((...[[[[...))).......]]]].,(...((...(((....)))..))...)....[[[...((((...]]].......)))).,(...((...(((....)))..))...)..........((((.............)))).,...............................[[[..........]]]............,13,10,3
249,PKB435,48,(((((......[.[[[[[[[[[[))))).....].].]]]]]]]].].,[[[[[......(.((((((((((]]]]].....).).)))))))).).,...........(.((((((((((..........).).)))))))).).,[[[[[..................]]]]]....................,16,11,5
250,PKB436,70,(((((.(((((((.[[[[[).)))))).((((((((......))))))))))))).........]]]]].,(((((.(((((((.[[[[[).)))))).((((((((......))))))))))))).........]]]]].,(((((.(((((((......).)))))).((((((((......)))))))))))))...............,..............[[[[[.............................................]]]]].,25,20,5
251,PKB437,36,..(((((.[[[[[[[))))).......]]]]]]]..,..[[[[[.(((((((]]]]].......)))))))..,........(((((((............)))))))..,..[[[[[........]]]]]................,12,7,5
252,PKB439,36,....((((....[[[.))))......]]].......,....((((....[[[.))))......]]].......,....((((........))))................,............[[[...........]]].......,7,4,3
253,PKB443,73,.((((((((..(.[[[[[....((((....))))..)..))))))))........(((..]]]]]..)))...,.((((((((..(.[[[[[....((((....))))..)..))))))))........(((..]]]]]..)))...,.((((((((..(..........((((....))))..)..))))))))........(((.........)))...,.............[[[[[..........................................]]]]]........,21,16,5
254,PKB444,87,(((((((((.(..[[[.).)))))....((((.]].]...))))))))((((((((.(..(((((....)))))..)))))))))..,(((((((((.(..[[[.).)))))....((((.]].]...))))))))((((((((.(..(((((....)))))..)))))))))..,(((((((((.(......).)))))....((((........))))))))((((((((.(..(((((....)))))..)))))))))..,.............[[[.................]].]..................................................,31,28,3
